"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"buildroot","linux-6.1-stan-rkr3-5-gd81ba3d7a9","GPL-2.0+","COPYING","not saved","not saved",""
"ccache","4.8.2","GPL-3.0+, others","LICENSE.adoc GPL-3.0.txt","ccache-4.8.2.tar.xz","https://github.com/ccache/ccache/releases/download/v4.8.2","host-cmake [BSD-3-Clause] host-hiredis [BSD-3-Clause] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"cmake","3.28.1","BSD-3-Clause","Copyright.txt","cmake-3.28.1.tar.gz","https://cmake.org/files/v3.28","host-skeleton [unknown] host-tar [GPL-3.0+]"
"tar","1.34","GPL-3.0+","COPYING","tar-1.34.cpio.gz","http://mirrors.kernel.org/gnu/tar","host-skeleton [unknown]"
"hiredis","1.2.0","BSD-3-Clause","COPYING","hiredis-1.2.0.tar.gz","https://github.com/redis/hiredis/archive/v1.2.0","host-cmake [BSD-3-Clause] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+]"
"pkgconf","1.6.3","pkgconf license","COPYING","pkgconf-1.6.3.tar.xz","https://distfiles.ariadne.space/pkgconf","host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+]"
"xz","5.4.5","Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+","COPYING COPYING.GPLv2 COPYING.GPLv3 COPYING.LGPLv2.1","xz-5.4.5.tar.bz2","https://tukaani.org/xz","host-skeleton [unknown] host-tar [GPL-3.0+]"
"zstd","1.5.5","BSD-3-Clause or GPL-2.0","LICENSE COPYING","zstd-1.5.5.tar.gz","https://github.com/facebook/zstd/releases/download/v1.5.5","host-skeleton [unknown] host-tar [GPL-3.0+]"
"gcc-final","12.3.0","GPL-2.0, GPL-3.0, LGPL-2.1, LGPL-3.0","COPYING COPYING3 COPYING.LIB COPYING3.LIB","gcc-12.3.0.tar.xz","http://mirrors.kernel.org/gnu/gcc/gcc-12.3.0","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] host-autoconf [GPL-3.0+ with exceptions] host-autoconf-archive [GPL-3.0+ with exception] host-automake [GPL-2.0+] host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-bison [GPL-3.0+] host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-expat [MIT] host-gawk [GPL-3.0+] host-gcc-initial [GPL-2.0, GPL-3.0, LGPL-2.1, LGPL-3.0] host-gmp [LGPL-3.0+ or GPL-2.0+] host-hiredis [BSD-3-Clause] host-libffi [MIT] host-libopenssl [Apache-2.0] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-lzip [GPL-2.0+] host-m4 [GPL-3.0+] host-make [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-pkgconf [pkgconf license] host-python3 [Python-2.0, others] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"bison","3.8.2","GPL-3.0+","COPYING","bison-3.8.2.tar.xz","http://mirrors.kernel.org/gnu/bison","host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-hiredis [BSD-3-Clause] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
