"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"gcc-final","12.3.0","GPL-3.0-with-GCC-exception","COPYING.RUNTIME","gcc-12.3.0.tar.xz","http://mirrors.kernel.org/gnu/gcc/gcc-12.3.0","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"glibc","2.38-44-gd37c2b20a4787463d192b32041c3406c2bd91de0","GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)","COPYING COPYING.LIB LICENSES","glibc-2.38-44-gd37c2b20a4787463d192b32041c3406c2bd91de0.tar.gz","https://github.com/bminor/glibc/archive/2.38-44-gd37c2b20a4787463d192b32041c3406c2bd91de0","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"linux-headers","custom","GPL-2.0","","linux-headers-custom.tar.gz","/home/wxt/linux-develop/rockchip-linux/buildroot/../kernel","skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"alsa-lib","1.2.11","LGPL-2.1+ (library), GPL-2.0+ (aserver)","COPYING aserver/COPYING","alsa-lib-1.2.11.tar.bz2","https://www.alsa-project.org/files/pub/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"alsa-plugins","1.2.7.1","LGPL-2.1+, GPL-2.0+ (samplerate plugin)","COPYING COPYING.GPL","alsa-plugins-1.2.7.1.tar.bz2","https://www.alsa-project.org/files/pub/plugins","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] alsa-utils [GPL-2.0] bluez5_utils [GPL-2.0+, LGPL-2.1+] dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] flac [Xiph BSD-like (libFLAC), GPL-2.0+ (tools), LGPL-2.1+ (other libraries)] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libcap [GPL-2.0 or BSD-3-Clause] libffi [MIT] libglib2 [LGPL-2.1+] libical [MPL-1.0 or LGPL-2.1] libogg [BSD-3-Clause] libopenssl [Apache-2.0] libsamplerate [BSD-2-Clause] libsndfile [LGPL-2.1+] libtool [LGPL-2.1+] libvorbis [BSD-3-Clause] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] opus [BSD-3-Clause] pcre2 [BSD-3-Clause] pulseaudio [LGPL-2.1+ (specific license for modules, see LICENSE file)] readline [GPL-3.0+] sbc [LGPL-2.1+ (library)] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"alsa-utils","1.2.11","GPL-2.0","COPYING","alsa-utils-1.2.11.tar.bz2","https://www.alsa-project.org/files/pub/utils","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libsamplerate [BSD-2-Clause] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libsamplerate","0.2.2","BSD-2-Clause","COPYING","libsamplerate-0.2.2.tar.xz","https://github.com/libsndfile/libsamplerate/releases/download/0.2.2","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"ncurses","6.4-20230603","MIT with advertising clause","COPYING","ncurses-6.4-20230603.tar.gz","https://github.com/ThomasDickey/ncurses-snapshots/archive/v6_4_20230603","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"pulseaudio","16.1","LGPL-2.1+ (specific license for modules, see LICENSE file)","LICENSE GPL LGPL","pulseaudio-16.1.tar.xz","https://freedesktop.org/software/pulseaudio/releases","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] bluez5_utils [GPL-2.0+, LGPL-2.1+] dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] flac [Xiph BSD-like (libFLAC), GPL-2.0+ (tools), LGPL-2.1+ (other libraries)] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libcap [GPL-2.0 or BSD-3-Clause] libffi [MIT] libglib2 [LGPL-2.1+] libical [MPL-1.0 or LGPL-2.1] libogg [BSD-3-Clause] libopenssl [Apache-2.0] libsamplerate [BSD-2-Clause] libsndfile [LGPL-2.1+] libtool [LGPL-2.1+] libvorbis [BSD-3-Clause] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] opus [BSD-3-Clause] pcre2 [BSD-3-Clause] readline [GPL-3.0+] sbc [LGPL-2.1+ (library)] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"bluez5_utils","5.72","GPL-2.0+, LGPL-2.1+","COPYING COPYING.LIB","bluez-5.72.tar.xz","https://cdn.kernel.org/pub/linux/bluetooth","dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libffi [MIT] libglib2 [LGPL-2.1+] libical [MPL-1.0 or LGPL-2.1] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] pcre2 [BSD-3-Clause] readline [GPL-3.0+] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
